Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Age
FDA15,9,Low Fat,0.016047301,Dairy,249,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735,Food,26
DRC01,5,Regular,0.019278216,Soft Drinks,48,OUT018,2009,Medium,Tier 3,Supermarket Type2,443,Drinks,16
FDN15,17,Low Fat,0.016760075,Meat,141,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097,Food,26
FDX07,19,Regular,0.06613202877895108,Fruits and Vegetables,182,OUT010,1998,Medium,Tier 3,Grocery Store,732,Food,27
NCD19,8,Low Fat,0.06613202877895108,Household,53,OUT013,1987,High,Tier 3,Supermarket Type1,994,Non-Consumable,38
FDP36,10,Regular,0.06613202877895108,Baking Goods,51,OUT018,2009,Medium,Tier 3,Supermarket Type2,556,Food,16
FDO10,13,Regular,0.012741089,Snack Foods,57,OUT013,1987,High,Tier 3,Supermarket Type1,343,Food,38
FDP10,12,Low Fat,0.127469857,Snack Foods,107,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022,Food,40
FDH17,16,Regular,0.016687114,Frozen Foods,96,OUT045,2002,Medium,Tier 2,Supermarket Type1,1076,Food,23
FDU28,19,Regular,0.09444959,Frozen Foods,187,OUT017,2007,Medium,Tier 2,Supermarket Type1,4710,Food,18
FDY07,11,Low Fat,0.06613202877895108,Fruits and Vegetables,45,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516,Food,26
FDA03,18,Regular,0.045463773,Dairy,144,OUT046,1997,Small,Tier 1,Supermarket Type1,2187,Food,28
FDX32,15,Regular,0.1000135,Fruits and Vegetables,145,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589,Food,26
FDS46,17,Regular,0.047257328,Snack Foods,119,OUT046,1997,Small,Tier 1,Supermarket Type1,2145,Food,28
FDF32,16,Low Fat,0.0680243,Fruits and Vegetables,196,OUT013,1987,High,Tier 3,Supermarket Type1,1977,Food,38
FDP49,9,Regular,0.069088961,Breakfast,56,OUT046,1997,Small,Tier 1,Supermarket Type1,1547,Food,28
NCB42,11,Low Fat,0.008596051,Health and Hygiene,115,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621,Non-Consumable,16
FDP49,9,Regular,0.069196376,Breakfast,54,OUT049,1999,Medium,Tier 1,Supermarket Type1,718,Food,26
DRI11,12,Low Fat,0.034237682,Hard Drinks,113,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303,Drinks,40
FDU02,13,Low Fat,0.10249212,Dairy,230,OUT035,2004,Small,Tier 2,Supermarket Type1,2748,Food,21
FDN22,18,Regular,0.138190277,Snack Foods,250,OUT013,1987,High,Tier 3,Supermarket Type1,3775,Food,38
FDW12,12,Regular,0.035399923,Baking Goods,144,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064,Food,40
NCB30,14,Low Fat,0.025698134,Household,196,OUT035,2004,Small,Tier 2,Supermarket Type1,1587,Non-Consumable,21
FDC37,12,Low Fat,0.057556998,Baking Goods,107,OUT019,1985,Small,Tier 1,Grocery Store,214,Food,40
FDR28,13,Regular,0.025896485,Frozen Foods,165,OUT046,1997,Small,Tier 1,Supermarket Type1,4078,Food,28
